,u,v,x,y,z
0,874,993,734261.1875,4051747.75,2801.876220703125
1,929,994,734280.6875,4051733.75,2806.326904296875
2,3805,615,734136.6875,4050607.25,2943.086181640625
3,3566,633,734078.1875,4050727.0,2913.208740234375
6,1981,718,734478.875,4051338.0,2982.10595703125
7,2346,719,734319.375,4051174.5,2937.78955078125
8,2855,732,734278.4375,4050965.25,2926.308837890625
9,1896,826,734378.125,4051366.0,2903.97119140625
10,2661,828,734204.3125,4051052.25,2863.558837890625
11,4321,834,733867.4375,4050544.75,2788.937255859375
12,2619,845,734189.125,4051069.25,2852.073486328125
13,3376,875,733837.9375,4050867.5,2755.733642578125
14,226,889,734236.5625,4051973.25,2832.522216796875
15,4434,898,733822.0,4050532.25,2756.985107421875
16,4399,898,733824.875,4050542.25,2756.630615234375
17,4333,904,733824.4375,4050565.0,2754.302734375
18,4350,905,733821.6875,4050561.0,2753.11669921875
19,221,906,734222.875,4051968.5,2823.427734375
20,120,911,734193.5625,4051986.75,2812.3779296875
21,231,915,734219.9375,4051962.75,2818.920654296875
23,182,924,734196.0625,4051967.25,2809.643798828125
24,330,928,734243.5625,4051939.75,2820.417236328125
25,344,933,734243.5,4051935.5,2818.703857421875
26,308,945,734223.375,4051938.25,2809.02001953125
28,350,949,734235.1875,4051929.0,2810.70361328125
29,259,951,734202.6875,4051944.75,2801.694580078125
30,333,954,734226.5625,4051930.5,2806.42724609375
31,346,960,734225.6875,4051925.75,2803.839599609375
32,385,966,734232.25,4051915.5,2803.86962890625
33,2455,966,734075.375,4051136.5,2776.807861328125
34,367,971,734224.8125,4051917.5,2799.542236328125
35,451,972,734241.4375,4051895.75,2803.255615234375
36,931,977,734311.3125,4051745.25,2819.277587890625
37,874,977,734280.6875,4051754.5,2812.233642578125
38,404,979,734228.25,4051906.75,2797.759765625
39,860,979,734275.375,4051758.5,2810.515625
40,467,986,734235.375,4051887.25,2796.97900390625
42,867,995,734255.5625,4051748.25,2799.45947265625
43,445,999,734223.25,4051889.5,2789.10888671875
44,4157,1000,733780.625,4050646.0,2711.7939453125
45,852,1003,734246.125,4051750.0,2794.345458984375
46,874,1004,734252.0,4051744.5,2795.791748046875
47,474,1006,734222.6875,4051879.0,2786.7119140625
48,698,1008,734243.75,4051806.5,2791.939453125
49,4796,1011,733762.4375,4050449.5,2710.74072265625
50,1309,1036,734354.5625,4051605.75,2806.004638671875
51,4485,1037,733742.6875,4050563.75,2695.420654296875
52,1144,1040,734334.375,4051666.75,2800.00830078125
53,288,1042,734153.6875,4051909.75,2757.42822265625
54,1122,1051,734321.625,4051671.5,2792.14501953125
55,253,1064,734120.8125,4051905.0,2743.683349609375
56,1165,1063,734322.3125,4051655.0,2787.992431640625
57,1037,1067,734288.0625,4051694.75,2779.56494140625
58,4505,1075,733722.0625,4050570.5,2680.33154296875
59,4840,1075,733712.5,4050472.0,2680.89990234375
60,3713,1078,733716.875,4050807.5,2671.523681640625
61,840,1093,734181.5,4051730.5,2748.239501953125
62,810,1094,734172.0625,4051737.5,2744.420166015625
63,3335,1098,733705.0,4050917.25,2660.591796875
64,1140,1099,734292.5625,4051655.5,2767.69775390625
65,3332,1106,733700.3125,4050918.75,2657.635498046875
66,3335,1116,733695.3125,4050919.25,2653.930908203125
67,1117,1117,734279.0,4051660.5,2758.116455078125
68,4512,1127,733696.1875,4050584.25,2660.682861328125
69,561,1129,734159.5,4051819.75,2728.452880859375
70,1405,1128,734208.0625,4051531.25,2740.8515625
71,523,1154,734137.5625,4051822.75,2716.0224609375
72,2429,1156,733901.75,4051149.25,2676.39892578125
73,208,1170,734051.3125,4051883.0,2696.359375
74,904,1194,734144.875,4051694.0,2702.60498046875
75,1100,1217,734190.0625,4051638.75,2703.805908203125
76,312,1486,733912.0625,4051780.5,2575.955810546875
77,268,1570,733866.625,4051769.0,2547.657470703125
78,534,1654,733853.5,4051690.25,2523.084228515625
79,46,879,734278.25,4052062.5,2842.8359375
80,3616,622,734091.625,4050702.25,2922.156982421875
81,3637,651,734065.1875,4050704.5,2903.4599609375
85,3744,726,733976.125,4050697.5,2849.572265625
86,2854,732,734277.75,4050965.25,2925.696044921875
87,2866,764,734250.875,4050964.5,2903.951904296875
88,4169,785,733903.4375,4050577.75,2811.80615234375
89,3493,814,733865.8125,4050822.25,2784.055419921875
90,2263,823,734207.8125,4051207.0,2863.366455078125
91,4180,826,733875.9375,4050588.75,2791.412353515625
92,2661,829,734204.3125,4051052.25,2863.558837890625
93,1698,835,734428.625,4051457.75,2913.0927734375
94,3370,868,733841.1875,4050869.0,2758.80029296875
96,1879,870,734338.5,4051368.5,2875.697265625
97,3409,872,733843.6875,4050857.25,2759.454345703125
98,1898,876,734330.5625,4051360.0,2870.6796875
99,3378,876,733837.75,4050867.25,2755.700927734375
100,1895,888,734318.8125,4051359.5,2862.548583984375
101,81,896,734216.4375,4052013.0,2822.882080078125
102,4400,897,733825.0625,4050542.0,2756.98095703125
103,4362,907,733818.0,4050558.25,2751.370361328125
104,4340,909,733820.6875,4050564.75,2751.93359375
105,121,913,734193.125,4051986.0,2811.934326171875
106,193,918,734204.9375,4051968.0,2813.948974609375
107,2900,921,733779.3125,4051019.5,2703.904296875
108,232,923,734214.625,4051960.0,2814.830810546875
109,331,929,734242.4375,4051939.0,2819.439208984375
110,329,936,734236.0625,4051936.75,2815.379150390625
111,576,937,734289.75,4051870.75,2828.3056640625
113,307,945,734223.375,4051938.25,2809.02001953125
114,339,947,734233.4375,4051932.25,2810.93359375
115,351,950,734234.8125,4051928.5,2810.27197265625
116,260,951,734203.0,4051944.5,2801.7734375
117,2436,953,734082.125,4051143.5,2782.975341796875
118,209,954,734182.5,4051950.75,2795.2578125
119,3594,953,733769.4375,4050823.5,2717.534423828125
120,346,960,734226.3125,4051926.0,2804.330322265625
121,312,961,734216.5,4051932.75,2801.822265625
122,3214,961,733772.4375,4050934.0,2712.49609375
124,504,964,734254.3125,4051883.0,2809.854248046875
126,1341,970,734416.0,4051598.75,2851.09912109375
127,453,972,734242.3125,4051896.0,2803.832763671875
128,3218,973,733767.4375,4050934.0,2708.14697265625
129,404,977,734228.5625,4051907.0,2798.17919921875
130,873,977,734280.5,4051755.0,2812.17626953125
131,3884,977,733780.875,4050731.75,2715.767822265625
132,860,979,734275.375,4051758.5,2810.515625
133,2433,981,734065.5,4051145.25,2768.97998046875
134,4422,987,733774.75,4050564.5,2718.072509765625
135,4542,990,733768.25,4050529.5,2716.164306640625
136,4196,991,733779.0,4050634.5,2714.0927734375
137,5209,991,733695.8125,4050366.5,2704.21923828125
138,593,993,734247.0,4051846.5,2798.02783203125
139,866,994,734256.25,4051749.25,2799.966796875
140,4172,996,733779.6875,4050642.25,2713.005859375
141,915,997,734268.75,4051735.25,2802.407470703125
142,4156,999,733781.0625,4050645.75,2712.166015625
143,933,1001,734277.4375,4051730.75,2803.401123046875
144,4542,1002,733759.875,4050534.75,2710.573974609375
145,906,1003,734261.125,4051735.75,2798.43310546875
146,926,1004,734267.3125,4051730.0,2799.24560546875
147,475,1005,734223.4375,4051879.0,2787.239013671875
148,711,1006,734245.6875,4051803.0,2792.814697265625
149,447,1008,734218.0625,4051886.5,2784.808349609375
150,3720,1009,733755.0625,4050791.5,2698.98486328125
151,460,1013,734216.1875,4051881.25,2782.70556640625
152,3629,1014,733744.375,4050820.75,2694.14892578125
153,934,1016,734262.875,4051726.25,2794.98974609375
154,4452,1017,733758.9375,4050566.0,2705.970458984375
155,616,1019,734232.0,4051832.0,2784.439697265625
156,4140,1021,733772.5,4050655.75,2704.05126953125
157,3249,1022,733744.25,4050931.25,2689.87060546875
158,834,1026,734225.4375,4051749.75,2781.360107421875
159,3738,1025,733747.625,4050789.25,2693.16162109375
160,702,1027,734231.875,4051800.5,2782.165283203125
161,3745,1033,733742.5625,4050789.5,2689.169677734375
162,511,1037,734205.5,4051858.75,2769.837646484375
163,683,1038,734220.25,4051802.5,2774.876220703125
164,272,1041,734147.625,4051910.5,2756.074951171875
165,1143,1040,734334.75,4051667.0,2800.476318359375
166,289,1042,734154.4375,4051909.75,2757.9306640625
167,508,1042,734205.5,4051858.75,2769.837646484375
168,4803,1042,733736.8125,4050466.25,2696.282958984375
169,63,1043,734080.875,4051943.5,2741.042724609375
170,5077,1050,733704.8125,4050404.0,2688.796630859375
171,4296,1052,733750.5625,4050618.25,2691.333740234375
172,947,1061,734227.4375,4051708.25,2768.58154296875
173,253,1062,734121.625,4051905.25,2744.5234375
174,4953,1063,733717.0,4050432.75,2685.9853515625
175,792,1066,734194.1875,4051753.0,2758.8681640625
176,4804,1071,733714.625,4050482.0,2682.46435546875
177,3702,1071,733719.4375,4050810.0,2673.7900390625
178,4505,1074,733722.5625,4050570.0,2680.708251953125
179,768,1075,734184.5,4051760.5,2749.01806640625
180,4539,1079,733716.375,4050563.75,2678.469970703125
181,4916,1086,733702.0625,4050455.5,2675.65283203125
182,304,1089,734130.5625,4051893.0,2737.407958984375
183,1109,1090,734293.75,4051667.75,2770.73583984375
184,4514,1090,733713.625,4050573.0,2674.377685546875
185,1141,1096,734294.25,4051656.0,2768.783935546875
186,4524,1097,733707.8125,4050573.25,2670.863525390625
187,1114,1100,734289.5625,4051664.25,2766.178466796875
188,3332,1107,733699.75,4050919.0,2657.27099609375
189,1108,1112,734280.25,4051664.0,2760.18115234375
190,4529,1113,733699.625,4050576.75,2664.53173828125
191,3335,1115,733695.3125,4050919.25,2653.930908203125
192,1116,1117,734278.8125,4051660.75,2758.083251953125
193,4600,1120,733692.6875,4050561.0,2662.91796875
194,1138,1124,734276.0625,4051651.25,2753.9677734375
195,3550,1146,733686.6875,4050864.75,2646.345947265625
196,1138,1147,734263.3125,4051647.25,2743.386474609375
197,3413,1151,733687.25,4050900.5,2643.172119140625
198,4701,1168,733634.875,4050567.75,2637.830078125
199,211,1182,734042.625,4051876.75,2687.98779296875
200,2268,1182,733902.625,4051199.5,2667.914306640625
201,439,1195,734112.0625,4051839.25,2695.134521484375
202,4770,1203,733579.4375,4050587.0,2619.723388671875
203,5103,1214,733511.75,4050550.75,2605.852783203125
204,5114,1251,733498.3125,4050559.5,2594.773193359375
205,632,1259,734079.625,4051761.0,2669.94580078125
206,359,1349,733998.625,4051810.0,2628.943115234375
207,173,1353,733943.5625,4051834.25,2619.15966796875
208,3854,1373,733562.1875,4050832.75,2571.523193359375
209,82,1429,733884.5,4051828.75,2589.49560546875
210,77,1438,733880.0625,4051827.25,2585.995361328125
211,525,1568,733876.0,4051704.25,2548.89306640625
212,115,1707,733769.9375,4051755.5,2504.207763671875
213,342,1732,733760.1875,4051695.5,2496.4296875
217,2466,687,734352.5,4051123.0,2962.4619140625
218,1878,723,734531.6875,4051393.75,2994.371826171875
221,2185,740,734443.375,4051246.5,2962.785400390625
222,2433,764,734239.625,4051140.25,2895.85791015625
223,2027,774,734420.125,4051314.75,2940.399658203125
224,2224,773,734278.1875,4051232.5,2901.628173828125
225,2005,793,734401.0625,4051320.75,2926.115234375
226,3468,795,733877.0625,4050827.0,2791.739501953125
227,3427,809,733881.5,4050840.25,2788.884521484375
228,4169,822,733880.125,4050590.75,2794.02099609375
229,3442,825,733865.6875,4050838.75,2779.571533203125
231,217,850,734271.6875,4051992.75,2855.09423828125
232,278,860,734282.1875,4051977.75,2853.9052734375
233,4296,870,733843.9375,4050566.0,2770.3037109375
234,3738,878,733840.0625,4050753.5,2760.90625
235,3887,888,733885.6875,4050685.5,2769.780517578125
236,206,900,734223.625,4051973.0,2825.6376953125
237,249,909,734229.375,4051961.75,2823.48193359375
238,4350,917,733813.875,4050565.0,2747.6240234375
239,232,919,734216.1875,4051961.0,2815.905029296875
240,4382,918,733812.1875,4050555.25,2747.130126953125
241,1869,928,734279.5,4051365.5,2835.57373046875
243,332,932,734240.8125,4051938.0,2817.973388671875
244,3717,932,733798.6875,4050776.25,2733.847412109375
245,92,935,734165.9375,4051980.5,2796.341064453125
246,4335,935,733804.5,4050575.25,2739.4326171875
247,162,941,734175.1875,4051963.0,2797.6552734375
248,340,948,734233.25,4051931.75,2810.529296875
249,211,952,734183.3125,4051951.0,2795.79931640625
250,3589,952,733769.5,4050824.5,2717.53564453125
251,4434,952,733791.5,4050550.0,2732.301513671875
252,849,958,734298.0,4051769.75,2823.141357421875
253,331,960,734222.375,4051929.25,2803.322021484375
254,866,960,734296.9375,4051770.0,2822.887451171875
255,4481,966,733781.3125,4050541.5,2724.76416015625
256,398,971,734230.8125,4051910.5,2801.128173828125
257,902,974,734292.4375,4051749.25,2816.244140625
259,4426,986,733774.3125,4050564.75,2717.685546875
260,594,993,734247.1875,4051846.25,2798.078125
261,225,996,734162.125,4051935.75,2776.398681640625
262,657,995,734251.75,4051824.75,2798.114501953125
263,916,995,734272.125,4051736.25,2804.2822265625
264,691,997,734252.0625,4051812.5,2797.71142578125
265,4463,1002,733764.0,4050557.75,2710.797607421875
266,479,1004,734224.4375,4051878.0,2787.844970703125
267,929,1005,734266.125,4051729.0,2797.884033203125
268,3971,1007,733802.0625,4050694.75,2713.283935546875
269,834,1010,734237.4375,4051753.25,2789.38720703125
270,434,1013,734210.6875,4051887.25,2780.979736328125
271,4152,1012,733773.375,4050651.5,2706.218017578125
272,4479,1012,733758.9375,4050556.25,2706.4296875
273,4799,1012,733762.0625,4050449.5,2710.37109375
274,531,1021,734221.3125,4051857.5,2781.50146484375
275,3245,1025,733743.6875,4050932.0,2689.4736328125
276,3735,1026,733747.25,4050790.0,2692.8037109375
277,510,1038,734205.5,4051858.75,2769.837646484375
278,4472,1039,733742.5,4050567.75,2693.968505859375
279,3243,1047,733727.875,4050936.75,2678.7705078125
280,5075,1054,733702.4375,4050405.75,2686.95458984375
281,255,1060,734124.0,4051906.0,2746.008544921875
282,951,1059,734228.875,4051707.75,2768.901123046875
283,4937,1061,733724.0,4050432.75,2688.56298828125
284,3255,1062,733725.4375,4050933.5,2674.2783203125
285,4508,1071,733723.75,4050568.75,2681.768310546875
286,4619,1070,733720.125,4050536.25,2681.855712890625
287,293,1071,734138.5,4051899.5,2745.2607421875
288,1167,1071,734316.5625,4051652.75,2784.117919921875
289,4409,1081,733729.0625,4050594.75,2678.504150390625
290,4538,1079,733715.9375,4050564.0,2678.12158203125
291,306,1086,734131.3125,4051893.0,2738.21826171875
292,1105,1090,734293.5,4051669.5,2771.410400390625
293,3270,1089,733712.5,4050933.0,2664.065673828125
294,3321,1090,733706.9375,4050920.0,2662.91650390625
295,1118,1101,734289.125,4051662.75,2765.731689453125
296,4630,1099,733702.125,4050544.0,2669.95947265625
297,1037,1108,734240.0625,4051678.5,2753.669677734375
298,700,1112,734165.75,4051774.0,2736.991943359375
299,1178,1115,734288.375,4051637.5,2760.3828125
300,3773,1114,733708.9375,4050795.0,2661.809326171875
301,1138,1126,734275.0,4051651.0,2753.38671875
302,4546,1127,733691.375,4050577.25,2659.853759765625
303,2434,1132,733924.1875,4051148.0,2689.191650390625
304,3554,1132,733690.3125,4050861.75,2650.51416015625
305,1141,1145,734264.6875,4051646.5,2744.40625
306,593,1151,734147.5625,4051803.0,2719.29443359375
307,222,1154,734058.25,4051882.25,2701.760009765625
308,2232,1177,733909.1875,4051209.75,2670.08447265625
309,240,1190,734044.75,4051869.0,2684.76904296875
310,440,1193,734112.875,4051839.25,2695.934814453125
311,4610,1206,733590.375,4050623.25,2619.326416015625
312,3258,1209,733662.6875,4050949.25,2623.0888671875
313,4768,1229,733562.125,4050599.0,2608.326904296875
314,645,1296,734064.75,4051750.75,2653.96728515625
315,159,1341,733943.75,4051840.0,2623.125732421875
316,202,1344,733954.9375,4051833.5,2624.522216796875
317,176,1353,733944.0625,4051834.0,2619.232177734375
318,484,1441,733967.3125,4051758.5,2592.2294921875
319,510,1446,733956.25,4051744.25,2590.52880859375
320,911,1455,734017.0,4051644.75,2595.589111328125
321,572,1475,733944.0625,4051720.75,2579.847412109375
322,586,1480,733939.25,4051713.75,2578.550048828125
323,309,1487,733911.375,4051780.75,2575.601318359375
324,323,1541,733887.875,4051765.5,2558.4853515625
325,394,1612,733832.6875,4051718.25,2533.705078125
326,523,1675,733840.0625,4051685.5,2515.695068359375
327,338,1786,733744.6875,4051688.0,2480.7109375
328,1757,1893,733396.0,4051278.5,2455.47802734375
329,1754,2042,733348.5625,4051272.0,2431.639892578125
330,4094,687,734001.8125,4050553.0,2875.709228515625
331,4112,692,734001.8125,4050553.0,2875.709228515625
334,3607,706,734002.8125,4050738.75,2861.796630859375
335,2038,724,734485.3125,4051314.25,2979.908935546875
336,2817,763,734238.5,4050985.75,2900.57861328125
337,3415,824,733872.4375,4050846.5,2781.8359375
338,4367,834,733868.5625,4050527.25,2789.079833984375
339,4381,849,733856.125,4050529.0,2780.89111328125
341,1666,851,734421.0625,4051469.75,2904.564208984375
342,4390,852,733856.125,4050529.0,2780.89111328125
343,4426,854,733852.625,4050518.25,2779.615234375
345,276,860,734282.1875,4051977.75,2853.9052734375
346,288,864,734283.6875,4051974.5,2853.260498046875
347,314,872,734283.9375,4051968.25,2850.890869140625
349,322,884,734274.875,4051955.0,2842.938232421875
350,426,904,734292.625,4051926.25,2840.073486328125
351,138,910,734197.3125,4051982.25,2814.133544921875
352,3790,910,733827.0625,4050741.75,2746.76416015625
353,334,932,734241.875,4051938.0,2818.5947265625
354,4398,931,733805.1875,4050555.0,2741.4443359375
355,575,938,734286.875,4051870.75,2827.224609375
357,627,948,734289.25,4051851.75,2824.13232421875
360,861,959,734296.9375,4051770.0,2822.887451171875
361,1376,959,734413.875,4051601.5,2848.91943359375
362,371,963,734230.6875,4051919.25,2804.114501953125
364,251,969,734191.25,4051940.5,2793.12060546875
365,4319,971,733786.25,4050591.25,2723.255859375
366,1299,980,734403.8125,4051624.0,2840.373291015625
371,948,994,734304.25,4051734.75,2811.0185546875
372,657,996,734251.0625,4051824.0,2797.620361328125
373,690,996,734252.0625,4051812.5,2797.71142578125
374,991,1000,734323.125,4051725.25,2812.9072265625
375,4464,1001,733763.9375,4050558.25,2710.77734375
376,4754,1001,733769.6875,4050457.25,2714.72314453125
377,586,1005,734236.5,4051845.25,2790.19970703125
378,4565,1009,733759.3125,4050529.25,2709.4736328125
380,4797,1021,733752.4375,4050457.25,2705.861083984375
381,622,1022,734231.375,4051829.25,2783.625732421875
382,4738,1033,733737.8125,4050486.25,2697.701171875
383,255,1035,734142.4375,4051915.25,2756.849609375
